image_id,filename,hairstyle_label,category,difficulty,hair_length,description,keywords,search_profile
105,IMG_3423.JPG,Fishtail Braids,Wedding/Party/Everyday,Beginner,Short/Medium/Long,A beginner fishtail braids that's well suited for wedding/party/everyday occasions and works best on short/medium/long hair.,"wedding/party/everyday, short/medium/long, beginner, fishtail braids",wedding/party/everyday beginner short/medium/long hairstyle everyday occasion
106,IMG_3424.JPG,Twisted Donut Bun,Wedding/Party,Intermediate,Medium/Long,A intermediate twisted donut bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, twisted donut bun",wedding/party intermediate medium/long hairstyle everyday occasion
107,IMG_3425.JPG,Fishtail Braid,Wedding/Party/Everyday,Advanced,Medium/Long,A advanced fishtail braid that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, advanced, fishtail braid",wedding/party/everyday advanced medium/long hairstyle everyday occasion
108,IMG_3426.JPG,Waterfall Braid,Wedding/Party,Intermediate,Medium/Long,A intermediate waterfall braid that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, waterfall braid",wedding/party intermediate medium/long hairstyle occasion
109,IMG_3427.JPG,Twisted Bun,Wedding/Party,Intermediate,Medium/Long,A intermediate twisted bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, twisted bun",wedding/party intermediate medium/long hairstyle occasion
109,IMG_3428.JPG,Braided Bun,Wedding/Party,Intermediate,Medium/Long,A intermediate braided bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, braided bun",wedding/party intermediate medium/long hairstyle occasion
110,IMG_3429.JPG,Topsy-tail Braid,Wedding/Party,Advanced,Medium/Long,A advanced topsy-tail braid that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, topsy-tail braid",wedding/party advanced medium/long hairstyle occasion
111,IMG_3430.JPG,Floral Braided Bun,Wedding/Party,Intermediate,Short/Medium/Long,A intermediate floral braided bun that's well suited for wedding/party occasions and works best on short/medium/long hair.,"wedding/party, short/medium/long, intermediate, floral braided bun",wedding/party intermediate short/medium/long hairstyle everyday occasion
112,IMG_3431.JPG,Double Braids,Everyday,Intermediate,Medium/Long,A intermediate double braids that's well suited for everyday occasions and works best on medium/long hair.,"everyday, medium/long, intermediate, double braids",everyday intermediate medium/long hairstyle everyday occasion
113,IMG_3432.JPG,Double Braids,Everyday,Intermediate,Medium/Long,A intermediate double braids that's well suited for everyday occasions and works best on medium/long hair.,"everyday, medium/long, intermediate, double braids",everyday intermediate medium/long hairstyle everyday occasion
114,IMG_3433.JPG,Twisted Half-Up,Wedding/Party,Intermediate,Medium/Long,A intermediate twisted half-up that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, twisted half-up",wedding/party intermediate medium/long hairstyle occasion
115,IMG_3433.JPG,Braided Bun Variations,Wedding/Party,Intermediate,Medium/Long,A intermediate braided bun variations that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, braided bun variations",wedding/party intermediate medium/long hairstyle everyday occasion
116,IMG_3434.JPG,Textured Low bun,Wedding/Party,Intermediate,Medium/Long,A intermediate textured low bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, textured low bun",wedding/party intermediate medium/long hairstyle occasion
117,IMG_3435.JPG,Textured Updo,Wedding/Party,Advanced,Medium/Long,A advanced textured updo that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, textured updo",wedding/party advanced medium/long hairstyle everyday occasion
118,IMG_3436.JPG,Crown Braid,Wedding/Party,Beginner,Short/Medium/Long,A beginner crown braid that's well suited for wedding/party occasions and works best on short/medium/long hair.,"wedding/party, short/medium/long, beginner, crown braid",wedding/party beginner short/medium/long hairstyle everyday occasion
119,IMG_3437.JPG,Braided Half-Up,Wedding/Party/Everyday,Intermediate,Medium/Long,A intermediate braided half-up that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, braided half-up",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
120,IMG_3438.JPG,Waterfall and Rose Bun,Wedding/Party,Advanced,Medium/Long,A advanced waterfall and rose bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, waterfall and rose bun",wedding/party advanced medium/long hairstyle everyday occasion
121,IMG_3439.JPG,Multi Braids,Wedding/Party/Everyday,Intermediate,Medium/Long,A intermediate multi braids that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, multi braids",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
122,IMG_3440.JPG,Braided Bun,Wedding/Party/Everyday,Beginner,Medium/Long,A beginner braided bun that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, braided bun",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
123,IMG_3441.JPG,Upside-Down Braided Bun,Wedding/Party,Intermediate,Medium/Long,A intermediate upside-down braided bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, upside-down braided bun",wedding/party intermediate medium/long hairstyle everyday occasion
124,IMG_3442.JPG,Half-up inifinity braids,Wedding/Party/Everyday,Intermediate,Medium/Long,A intermediate Half-up infinity braid that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, Half-up infinity braid",wedding/party intermediate medium/long hairstyle everyday occasion
125,IMG_3443.JPG,Braided Hearts,Wedding/Party/Everyday,Intermediate,Medium/Long,A intermediate braided hearts that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, braided hearts",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
126,IMG_3444.JPG,Half-Up Braid,Wedding/Party,Intermediate,Medium/Long,A intermediate half-up braid that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, half-up braid",wedding/party intermediate medium/long hairstyle occasion
127,IMG_3445.JPG,Decorative Half-Up,Wedding/Party,Beginner,Medium/Long,A beginner decorative half-up that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, beginner, decorative half-up",wedding/party/everyday beginner medium/long hairstyle occasion
128,IMG_3447.JPG,Lace and Pull-through Braid,Wedding/Party,Intermediate,Medium/Long,A intermediate Lace and Pull-through Braid that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, Lace and Pull-through Braid",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
129,IMG_3448.JPG,Rose Bun Half-Up,Wedding/Party,Beginner,Medium/Long,A beginner rose bun half-up that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, beginner, rose bun half-up",wedding/party beginner medium/long hairstyle everyday occasion
130,IMG_3449.JPG,Twisted Bridal Updo,Wedding/Party,Advanced,Medium/Long,A advanced twisted bridal updo that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, twisted bridal updo",wedding/party advanced medium/long hairstyle occasion
131,IMG_3450.JPG,Twisted Half-Up,Wedding/Party/Everyday,Intermediate,Short/Medium/Long,A intermediate twisted half-up that's well suited for wedding/party/everyday occasions and works best on short/medium/long hair.,"wedding/party/everyday, short/medium/long, intermediate, twisted half-up",wedding/party/everyday intermediate short/medium/long hairstyle everyday occasion
132,IMG_3451.JPG,Multi Ladder Braid,Wedding/Party/Everyday,Intermediate,Medium/Long,A intermediate multi ladder braid that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, multi ladder braid",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
133,IMG_3452.JPG,Braided Half-Up,Wedding/Party/Everyday,Intermediate,Medium/Long,A intermediate braided half-up that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, braided half-up",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
134,IMG_3453.JPG,Twisted Ponytail,Wedding/Party/Everyday,Beginner,Short/Medium/Long,A beginner twisted ponytail that's well suited for wedding/party/everyday occasions and works best on short/medium/long hair.,"wedding/party/everyday, short/medium/long, beginner, twisted ponytail",wedding/party/everyday beginner short/medium/long hairstyle everyday occasion
135,IMG_3454.JPG,Butterfly Braid,Wedding/Party,Intermediate,Medium/Long,A intermediate butterfly braid that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, butterfly braid",wedding/party intermediate medium/long hairstyle occasion
136,IMG_3455.JPG,Waterfall and Flower Braid,Wedding/Party,Advanced,Medium/Long,A advanced waterfall and flower braid that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, waterfall and flower braid",wedding/party advanced medium/long hairstyle occasion
137,IMG_4571.jpg,4-Strand Half-Up with Curls,Wedding/Party,Intermediate,Medium/Long,A intermediate 4-strand half-up with curls that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, 4-strand half-up with curls",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
138,IMG_5364.jpg,Braided Half-Up,Wedding/Party/Everyday,Intermediate,Medium/Long,A intermediate braided half-up that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, braided half-up",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
139,IMG_6819.JPG,Topsy Tail Braid,Wedding/Party/Everyday,Intermediate,Medium/Long,A intermediate topsy tail braid that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, topsy tail braid",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
140,IMG_7774.jpg,French Braided Buns,Wedding/Party/Everyday,Intermediate,Medium/Long,A beginner french braided buns that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party, medium/long, beginner, french braided buns",wedding/party beginner medium/long hairstyle everyday occasion
141,IMG_7970.jpg,Crown Braids,Wedding/Party/Everyday,Beginner,Medium/Long,A beginner crown braid that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, beginner, crown braids",wedding/party/everyday Beginner medium/long hairstyle everyday occasion
142,IMG_8218.jpg,Double Braids High Bun,Everyday,Intermediate,Short/Medium/Long,A intermediate double braids High Bun that's well suited for everyday occasions and works best on all hair lengths.,"everyday, short/medium/long, intermediate, double braids high bun",everyday intermediate short/medium/long hairstyle everyday occasion
143,IMG_8295.jpg,Multi-Dutch Braid,Everyday,Intermediate,Medium/Long,A intermediate multi-dutch braid that's well suited for everyday occasions and works best on medium/long hair.,"everyday, medium/long, intermediate, multi-dutch braid",everyday intermediate medium/long hairstyle everyday occasion
144,IMG_8498.jpg,Simple Dutch Braid,Everyday,Beginner,Medium/Long,A beginner simple dutch braid that's well suited for everyday and works best on medium/long hair.,"everyday, medium/long, beginner, simple dutch braid",everyday beginner medium/long hairstyle everyday occasion
145,IMG_8785.jpg,Low Bridal Bun,Wedding/Party,Intermediate,Medium/Long,A intermediate low bridal bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, low bridal bun",wedding/party intermediate medium/long hairstyle occasion
